Tag Code,Site First Name,First Antenna Group Name,First Date MMDDYYYY,Site Last Name,Last Antenna Group Name,Last Date MMDDYYYY,Release Date MMDDYYYY,Release Site Name,Mark Conditional Comments Value,Mark Conditional Comments Code,Mark Data Project Code Code,Mark Date MMDDYYYY,Mark Length mm,Mark Organization Name,Mark Organization Code,Mark Temperature C,Run Code,Run Name,Species Code,Species Name,ObsMain Count
3DD.003D6316B6,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/15/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,10/2/2020,810,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316B7,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,10/2/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,795,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316BA,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/16/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,10/2/2020,760,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316BE,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,10/2/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/2/2020,850,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316BF,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,GOA - Little Goose Fish Ladder,Counting Window,10/20/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/1/2020,850,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D6316C1,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/18/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/2/2020,705,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316C3,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 53,10/1/2020,TD1 - The Dalles East Fish Ladder,Counting Window,10/4/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,10/1/2020,875,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D6316C7,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/14/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip, Descaled Greater than 20%",&gt;2 AD MT RF,JKF,10/2/2020,915,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316C8,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,10/2/2020,10/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Returning Fish, Mature",&lt;2 MT RF,JKF,10/2/2020,495,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D6316CD,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/1/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/17/2020,10/1/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/1/2020,845,Columbia River Inter-Tribal Fish Commission,CRITFC,17.8,5,Unknown,3,Steelhead,1
3DD.003D6317FB,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,JO2 - John Day North Fish Ladder,WEIR 247,10/20/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/16/2020,755,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
3DD.003D6317FF,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,JO1 - John Day South Fish Ladder,WEIR 181,10/20/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,10/16/2020,765,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
3DD.003D631800,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,TD1 - The Dalles East Fish Ladder,Counting Window,10/21/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,10/16/2020,805,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
3DD.003D631803,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/14/2020,JO1 - John Day South Fish Ladder,WEIR 181,10/17/2020,10/14/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,10/14/2020,660,Columbia River Inter-Tribal Fish Commission,CRITFC,16.1,5,Unknown,3,Steelhead,1
3DD.003D631805,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/15/2020,TD2 - The Dalles North Fish Ladder,Counting Window,10/18/2020,10/15/2020,BONAFF - BON - Adult Fish Facility,"Descaled Greater than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&gt; AD MT RF,JKF,10/15/2020,725,Columbia River Inter-Tribal Fish Commission,CRITFC,16.2,5,Unknown,3,Steelhead,1
3DD.003D631809,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,TD1 - The Dalles East Fish Ladder,Counting Window,10/19/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/16/2020,670,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
3DD.003D63180D,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,TD1 - The Dalles East Fish Ladder,Counting Window,10/20/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Parasite, Mature, Returning Fish",MT PA RF,JKF,10/16/2020,745,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
3DD.003D631815,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/15/2020,MC1 - McNary Oregon Shore Ladder,WEIR 288,10/22/2020,10/15/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/15/2020,695,Columbia River Inter-Tribal Fish Commission,CRITFC,16.2,5,Unknown,3,Steelhead,1
3DD.003D63181C,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,10/16/2020,TD2 - The Dalles North Fish Ladder,Counting Window,10/18/2020,10/16/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,10/16/2020,535,Columbia River Inter-Tribal Fish Commission,CRITFC,16,5,Unknown,3,Steelhead,1
